                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1485,                 2.4248,                 1.5771,                0.61859,                0.53656,                 0.5839,                0.22862,                 2.0715,                 2.6363,                 1.8026,             0.00066423,             0.00066423,             0.00066423
                      2,                 2.0476,                 1.7972,                 1.5387,                0.52721,                0.52882,                0.49282,                0.19175,                 2.0742,                 2.2074,                 1.7733,              0.0011991,              0.0011991,              0.0011991
                      3,                   2.02,                 1.6514,                 1.5198,                0.61402,                0.57393,                0.57387,                0.22519,                 1.9531,                 2.0177,                 1.7405,               0.001602,               0.001602,               0.001602
                      4,                  1.963,                 1.5403,                 1.4745,                0.73749,                0.66165,                  0.754,                0.34752,                 1.8136,                 1.5216,                 1.5555,               0.001406,               0.001406,               0.001406
                      5,                 1.9172,                  1.458,                  1.449,                0.79436,                0.71429,                0.78523,                 0.3539,                 1.9417,                 1.5264,                 1.6616,               0.001406,               0.001406,               0.001406
                      6,                 1.8775,                 1.3807,                 1.4241,                  0.735,                0.74937,                0.79227,                0.35106,                 1.9608,                 1.3416,                 1.6138,               0.001208,               0.001208,               0.001208
                      7,                 1.8344,                 1.3125,                  1.391,                0.81496,                0.76441,                0.81184,                 0.3858,                 1.8551,                 1.3095,                 1.6036,                0.00101,                0.00101,                0.00101
                      8,                 1.7771,                 1.2417,                 1.3546,                0.81938,                0.79449,                0.82949,                0.38579,                 1.7741,                 1.2968,                 1.5263,               0.000812,               0.000812,               0.000812
                      9,                 1.7439,                 1.1717,                 1.3328,                0.82465,                0.82509,                0.87385,                0.42136,                 1.7943,                  1.272,                   1.49,               0.000614,               0.000614,               0.000614
                     10,                 1.7164,                  1.118,                 1.3087,                0.84409,                0.85714,                0.87919,                0.43825,                 1.7605,                 1.0977,                 1.4664,               0.000416,               0.000416,               0.000416
